exit_id,employee_id,exit_date,exit_reason,exit_type,notice_period_days,employee_satisfaction_score
94,1549,2026-09-13,Personal Reasons,Voluntary,30,4
95,1553,2026-04-22,Relocation,Voluntary,30,4
96,1593,2016-08-29,Management,Voluntary,60,4
97,1610,2024-07-15,Salary,Voluntary,45,4
98,1619,2024-07-28,Retirement,Retirement,90,5
99,1669,2026-08-14,Health,Voluntary,30,3
100,1673,2026-09-09,Career Growth,Voluntary,30,1
101,1692,2026-06-25,Career Growth,Voluntary,30,5
102,1703,2026-04-21,Retirement,Retirement,90,3
103,1779,2026-07-20,Health,Voluntary,30,2
104,1801,2015-02-25,Relocation,Voluntary,30,1
105,1813,2026-02-11,Work Environment,Voluntary,45,4
106,1818,2024-06-01,Management,Involuntary,15,2
107,1820,2026-09-01,Other,Voluntary,15,2
108,1840,2024-12-27,Relocation,Voluntary,30,1
109,1851,2025-02-04,Other,Involuntary,7,1
110,1894,2023-11-20,Career Growth,Voluntary,30,5
111,1901,2025-08-05,Retirement,Retirement,60,5
112,1914,2026-03-13,Retirement,Retirement,60,4
113,1934,2026-08-06,Work Environment,Voluntary,30,3
114,1964,2025-02-08,Personal Reasons,Voluntary,30,4
115,1979,2026-02-13,Management,Involuntary,0,1
